title,description,datePublished,citation,keywords
botdew1,NA,NA,2020/10/20,NA
botdot1,NA,NA,"Marsberg A et al.,2017",NA
botell1,NA,NA,2020/10/20,NA
botell2,NA,NA,2019/04/12,NA
botfra1,NA,NA,2020/07/22,NA
botgal1,NA,NA,2019/04/25,NA
botglo1,NA,NA,2020/10/20,NA
bothya1,NA,NA,2019/04/12,NA
botnar1,NA,NA,2019/04/12,NA
botpae1,NA,NA,2019/04/12,NA
botpor1,NA,NA,2020/10/20,NA
botpor2,NA,NA,2019/04/12,NA
botsin1,NA,NA,2020/10/20,NA
botsqu1,NA,NA,2020/10/20,NA
bottul1,NA,NA,2019/04/12,NA
brebru10,NA,NA,2020/10/21,NA
brebru2,NA,NA,2020/02/26,NA
brebru3,NA,NA,2020/08/03,NA
brebru5,NA,NA,2012/04/27,NA
brebru6,NA,NA,2018/07/30,NA
brenaa1,NA,NA,2019/01/30,NA
brenan1,NA,NA,2020/11/16,NA
butros1,NA,NA,2021/07/27,NA
byscir1,NA,NA,"Haridas S et al.,2020",NA
bysspe1,NA,NA,"Oka T et al.,2014",NA
cadmal1,NA,NA,2021/03/16,NA
cadsp.1,NA,NA,"Knapp DG et al.,2018",NA
cadsp.2,NA,NA,2021/03/16,NA
caechu1,NA,NA,"Brown JL et al.,2021",NA
calcor1,NA,NA,2016/04/26,NA
calmar1,NA,NA,"Hagestad OC et al.,2021",NA
calvis1,NA,NA,2016/04/23,NA
camtin1,NA,NA,"Franco MEE et al.,2021",NA
canafr1,NA,NA,2021/07/27,NA
canalb10,NA,NA,2014/11/10,NA
canalb11,NA,NA,2014/11/05,NA
canalb12,NA,NA,2014/11/10,NA
canalb13,NA,NA,2014/11/05,NA
canalb14,NA,NA,2014/11/10,NA
canalb15,NA,NA,2014/11/17,NA
canalb16,NA,NA,2014/11/17,NA
canalb17,NA,NA,2014/11/05,NA
canalb18,NA,NA,2014/11/17,NA
canalb19,NA,NA,2014/11/17,NA
canalb2,NA,NA,2006/03/28,NA
canalb20,NA,NA,2014/11/05,NA
canalb21,NA,NA,2014/11/17,NA
canalb22,NA,NA,2014/11/05,NA
canalb23,NA,NA,2014/11/05,NA
canalb24,NA,NA,2014/11/10,NA
canalb25,NA,NA,2014/11/10,NA
canalb26,NA,NA,2014/11/17,NA
canalb27,NA,NA,2014/05/15,NA
canalb28,NA,NA,2016/10/12,NA
canalb3,NA,NA,2020/08/03,NA
canalb4,NA,NA,2014/11/10,NA
canalb7,NA,NA,2014/11/10,NA
canalb8,NA,NA,2014/11/17,NA
canalb9,NA,NA,2014/11/17,NA
cananz1,NA,NA,"Miyauchi S et al.,2020",NA
canara1,NA,NA,"Riley R et al.,2016",NA
canaur1,NA,NA,2017/11/15,NA
canaur2,NA,NA,2019/09/04,NA
canaur3,NA,NA,2021/02/05,NA
canaur4,NA,NA,2019/09/05,NA
canaur5,NA,NA,2019/07/10,NA
canaur6,NA,NA,2017/11/07,NA
canaur7,NA,NA,2018/03/23,NA
canaur8,NA,NA,2015/07/30,NA
canboi1,NA,NA,"Krassowski T et al.,2018",NA
cancal1,NA,NA,2021/01/08,NA
cancal2,NA,NA,2021/01/08,NA
candub1,NA,NA,"Jackson AP et al.,2009",NA
canduo1,NA,NA,2018/02/13,NA
cangla1,NA,NA,2004/06/30,NA
cangla10,NA,NA,2015/12/15,NA
cangla11,NA,NA,2017/10/25,NA
cangla12,NA,NA,2017/10/25,NA
cangla13,NA,NA,2015/12/15,NA
cangla2,NA,NA,2020/08/17,NA
cangla3,NA,NA,2020/02/03,NA
cangla4,NA,NA,2017/07/13,NA
cangla5,NA,NA,2017/07/13,NA
cangla6,NA,NA,2015/12/15,NA
cangla7,NA,NA,2015/12/15,NA
cangla8,NA,NA,2015/12/15,NA
cangla9,NA,NA,2015/12/15,NA
canhae1,NA,NA,2018/02/13,NA
canhae2,NA,NA,2020/04/08,NA
canhae3,NA,NA,2020/04/08,NA
caninc1,NA,NA,2019/04/29,NA
canint1,NA,NA,2016/11/25,NA
canint2,NA,NA,2016/11/25,NA
canmal1,NA,NA,2013/03/06,NA
canmet1,NA,NA,2021/04/01,NA
canort1,NA,NA,"Riccombeni A et al.,N/D",NA
canpar1,NA,NA,"Butler G et al.,2009",NA
canpse1,NA,NA,2018/03/22,NA
cansub1,NA,NA,2021/07/13,NA
cantan1,NA,NA,"Riley R et al.,2016",NA
cantro1,NA,NA,"Guin K et al.,2020",NA
canvis1,NA,NA,2018/07/18,NA
capcor1,NA,NA,"Teixeira MM et al.,2017",NA
capepi1,NA,NA,"Teixeira MM et al.,2017",NA
capsem1,NA,NA,"Teixeira MM et al.,2017",NA
catang1,NA,NA,"Mondo SJ et al.,2017",NA
caupro1,NA,NA,"Ahrendt SR et al.,2018",NA
caupro2,NA,NA,"Ahrendt SR et al.,2018",NA
cengeo1,NA,NA,"Peter M et al.,2016",NA
cerber1,NA,NA,"de Jonge R et al.,2018",NA
cerbet1,NA,NA,2017/11/02,NA
cerbom1,NA,NA,"Sharma R et al.,2015",NA
cerfim1,NA,NA,2013/05/06,NA
cergua1,NA,NA,"Kijpornyongpan T et al.,2018",NA
cerkik1,NA,NA,2021/07/08,NA
cerpla1,NA,NA,2015/04/23,NA
cersp.10,NA,NA,2021/02/18,NA
cersp.13,NA,NA,2021/08/18,NA
cersp.14,NA,NA,2021/08/18,NA
cersp.15,NA,NA,2021/08/18,NA
cersp.16,NA,NA,2021/08/16,NA
cersp.17,NA,NA,2021/08/16,NA
cersp.4,NA,NA,"Miyauchi S et al.,2020",NA
cersp.8,NA,NA,2020/10/27,NA
certhe1,NA,NA,2019/10/15,NA
cerzea1,NA,NA,2020/01/31,NA
cerzei1,NA,NA,2017/12/19,NA
chafun1,NA,NA,"Mesny F et al.,2021",NA
chaglo1,NA,NA,"Mesny F et al.,2021",NA
chaglo2,NA,NA,2005/03/14,NA
chalon1,NA,NA,"Barbi F et al.,2020",NA
chasp.2,NA,NA,"Mesny F et al.,2021",NA
chasp.4,NA,NA,2018/10/29,NA
chasp.5,NA,NA,2018/11/02,NA
chasp.6,NA,NA,2018/11/02,NA
chasp.7,NA,NA,2018/11/02,NA
chasp.8,NA,NA,2021/10/29,NA
chathe1,NA,NA,"Amlacher S et al.,2011~Bock T et al.,2014",NA
chivir1,NA,NA,2021/08/27,NA
chlaer1,NA,NA,2017/08/29,NA
choven1,NA,NA,"Murat C et al.,2018",NA
chycon1,NA,NA,2019/07/01,NA
citmat1,NA,NA,"Krassowski T et al.,2018",NA
claaff1,NA,NA,2021/05/14,NA
claaff2,NA,NA,2021/05/14,NA
claafr1,NA,NA,2021/05/14,NA
claaqu1,NA,NA,"Heeger F et al.,2021",NA
claaru1,NA,NA,2021/05/14,NA
claaru2,NA,NA,2021/05/14,NA
claban1,NA,NA,"Teixeira MM et al.,2017",NA
clacap1,NA,NA,2021/05/14,NA
clacar1,NA,NA,"Teixeira MM et al.,2017",NA
clacit1,NA,NA,2021/05/14,NA
clacyp1,NA,NA,2021/05/14,NA
cladig1,NA,NA,2021/05/14,NA
claely1,NA,NA,"Haridas S et al.,2020",NA
claful1,NA,NA,"de Wit PJ et al.,N/D~Ohm RA et al.,N/D",NA
clagra1,NA,NA,"Armaleo D et al.,2019",NA
clahum1,NA,NA,2021/05/14,NA
claimm1,NA,NA,"Teixeira MM et al.,2017",NA
clalov1,NA,NA,2021/05/14,NA
clalus2,NA,NA,"Butler G et al.,2009",NA
clamax1,NA,NA,2021/05/14,NA
clamon1,NA,NA,2021/05/14,NA
clapaz1,NA,NA,2021/05/14,NA
clapsa1,NA,NA,"Teixeira MM et al.,2017",NA
clapur1,NA,NA,"Schardl CL et al.,N/D",NA
clapus1,NA,NA,2021/05/14,NA
clapyx1,NA,NA,"Looney B et al.,2021",NA
clasor1,NA,NA,2021/05/14,NA
clasp.1,NA,NA,2020/10/28,NA
clasp.10,NA,NA,2021/05/14,NA
clasp.11,NA,NA,2021/05/14,NA
clasp.2,NA,NA,2021/05/14,NA
clasp.3,NA,NA,2021/05/14,NA
clasp.4,NA,NA,2021/05/14,NA
clasp.5,NA,NA,2021/05/14,NA
clasp.6,NA,NA,2021/05/14,NA
clasp.7,NA,NA,2021/05/14,NA
clasp.8,NA,NA,2021/05/14,NA
clasp.9,NA,NA,2021/05/14,NA
claspa1,NA,NA,2021/05/14,NA
clasph1,NA,NA,"Ng KP et al.,2012",NA
clayeg1,NA,NA,"Teixeira MM et al.,2017",NA
cligib1,NA,NA,"Ruiz-Dueñas FJ et al.,2020",NA
cloaqu1,NA,NA,"Mondo SJ et al.,2017",NA
clobys1,NA,NA,2021/01/25,NA
clorhi1,NA,NA,2021/01/25,NA
closol1,NA,NA,2021/01/25,NA
coccar1,NA,NA,"Condon BJ et al.,N/D",NA
cocimm1,NA,NA,"Sharpton TJ et al.,2009",NA
cocimm2,NA,NA,2007/07/12,NA
cocimm3,NA,NA,2006/09/22,NA
cocimm4,NA,NA,2006/11/02,NA
coclun1,NA,NA,"Condon BJ et al.,N/D",NA
cocmiy1,NA,NA,"Condon BJ et al.,N/D",NA
cocpos2,NA,NA,"Sharpton TJ et al.,2009",NA
cocpos3,NA,NA,"Neafsey DE et al.,2010",NA
cocpos4,NA,NA,2007/05/31,NA
cocpos5,NA,NA,2007/07/12,NA
cocsat1,NA,NA,"Ohm RA et al.,N/D~Condon BJ et al.,N/D",NA
cocvic1,NA,NA,"Condon BJ et al.,N/D",NA
coerev1,NA,NA,"Chang Y et al.,2015",NA
colaen1,NA,NA,2020/07/06,NA
colasi1,NA,NA,2019/12/27,NA
colcam1,NA,NA,2020/04/03,NA
colchl1,NA,NA,"Gan P et al.,2017",NA
colcra1,NA,NA,2018/08/10,NA
colcyl1,NA,NA,2018/08/10,NA
colfio1,NA,NA,"Baroncelli R et al.,2014",NA
colfru1,NA,NA,2019/12/18,NA
colfru2,NA,NA,2012/12/12,NA
colfru3,NA,NA,2020/07/06,NA
colfru4,NA,NA,2020/04/29,NA
colfru5,NA,NA,2020/06/01,NA
colfru6,NA,NA,2020/06/01,NA
colfru7,NA,NA,2020/06/01,NA
colglo1,NA,NA,"Alkan N et al.,2013",NA
colgra1,NA,NA,"O'Connell RJ et al.,2012",NA
colhig1,NA,NA,"Zampounis A et al.,2016~O'Connell RJ et al.,2012",NA
colinc1,NA,NA,"Gan P et al.,2016",NA
colkar1,NA,NA,2020/04/03,NA
colmus1,NA,NA,2020/08/18,NA
colnym1,NA,NA,"Baroncelli R et al.,2016",NA
colorb1,NA,NA,"Gan P et al.,2013",NA
colorb2,NA,NA,2013/04/01,NA
colorc1,NA,NA,"Baroncelli R et al.,2018",NA
colplu1,NA,NA,2020/08/18,NA
colsal1,NA,NA,"Baroncelli R et al.,2016",NA
colsco1,NA,NA,2020/03/09,NA
colshi1,NA,NA,2019/07/09,NA
colsia1,NA,NA,2020/07/06,NA
colsia2,NA,NA,2020/06/01,NA
colsia3,NA,NA,2020/06/01,NA
colsia4,NA,NA,2020/06/01,NA
colsia5,NA,NA,2020/06/01,NA
colsid1,NA,NA,2019/03/22,NA
colsim1,NA,NA,"Baroncelli R et al.,2016",NA
colsoj1,NA,NA,2020/08/18,NA
colspi1,NA,NA,2019/03/22,NA
colsub1,NA,NA,"Baroncelli R et al.,2014",NA
coltan1,NA,NA,2019/05/14,NA
coltof2,NA,NA,"Hacquard S et al.,2016",NA
coltri1,NA,NA,2019/03/22,NA
coltro1,NA,NA,2020/06/01,NA
coltru1,NA,NA,2020/08/18,NA
colvin1,NA,NA,2020/06/01,NA
conapo1,NA,NA,"Teixeira MM et al.,2017",NA
concor1,NA,NA,"Chang Y et al.,2015",NA
conlig1,NA,NA,"Jiménez DJ et al.,2017",NA
conoli1,NA,NA,"Castanera R et al.,2017",NA
conpul1,NA,NA,2018/10/11,NA
conput1,NA,NA,2012/06/21,NA
consp.1,NA,NA,"Mondo SJ et al.,N/D",NA
copang1,NA,NA,"Steindorff AS et al.,2021",NA
copcin1,NA,NA,"Muraguchi H et al.,N/D",NA
copcin2,NA,NA,2003/07/30,NA
copmar1,NA,NA,"Varga T et al.,2019",NA
copmic1,NA,NA,"Varga T et al.,2019",NA
